,ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FE,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,TI,V,V40,ZN,Y_LABEL
23,1667.0,2014.0,8.0,200.0,0.0,1.0,10.0,2.0,0.0,16.0,0.0,0.0,2.0,0.0,255.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,0.0,322.0,0.0,504.0,13970.0,0.0,69.0,0.0,2.0,0.0,144.2,16.0,0.0
24,2739.0,2014.0,11.0,200.0,0.0,2.0,18.0,0.0,0.0,34.0,0.0,0.0,2.0,0.0,138.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,467.0,0.0,73.0,20440.0,0.0,10.0,0.0,0.0,0.0,139.7,13.0,0.0
25,1446.0,2008.0,9.0,646.0,0.0,1.0,21.0,0.0,0.0,109.0,0.0,0.0,2.0,4.0,504.0,0.0,0.0,0.0,2.0,3.0,55.0,4.0,0.0,2152.0,0.0,39.0,29040.0,0.0,2.0,0.0,0.0,0.0,141.8,31.0,0.0
26,2435.0,2012.0,11.0,200.0,0.0,3.0,138.0,0.0,0.0,2697.0,0.0,0.0,1.0,2.0,193.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,2347.0,0.0,19.0,35400.0,0.0,3.0,0.0,0.0,0.0,137.0,42.0,0.0
27,2210.0,2008.0,6.0,200.0,0.0,6.0,85.0,1.0,0.0,2425.0,0.0,0.0,11.0,37.0,333.0,0.0,3.0,0.0,2.0,6.0,4.0,0.0,3.0,824.0,0.0,12413.0,12842.0,0.0,68.0,0.0,2.0,0.0,95.7,238.0,0.0
28,2363.0,2010.0,8.0,200.0,0.0,1.0,219.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,959.0,0.0,36.0,20070.0,0.0,3.0,0.0,0.0,0.0,129.2,7.0,0.0
29,7789.0,2012.0,4.0,200.0,0.0,0.0,3.0,0.0,0.0,61.0,0.0,0.0,4.0,5.0,116.0,0.1,3.0,1.0,2.0,4.0,2.0,7.0,2.0,2082.0,1.0,1368.0,22800.0,1.0,11.0,0.0,0.0,0.0,158.3,64.0,0.0
30,2901.0,2019.0,1.0,200.0,0.0,3.0,0.0,0.0,0.0,3295.0,0.0,0.0,1.0,0.0,137.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,462.0,0.0,269.0,15240.0,0.0,4.0,0.0,0.0,0.0,134.2,43.0,0.0
31,4817.0,2012.0,3.0,200.0,0.0,628.0,123.0,6.0,0.0,183.0,0.0,0.0,2.0,6.0,91.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,0.0,1262.0,0.0,25.0,20760.0,0.0,2.0,0.0,0.0,0.0,129.9,45.0,1.0
32,1149.0,2014.0,42.0,349.0,0.0,1.0,8.0,0.0,0.0,2437.0,0.0,0.0,3.0,0.0,281.0,0.0,0.0,0.0,20.0,2.0,1.0,1.0,0.0,233.0,0.0,301.0,16700.0,0.0,6.0,0.0,0.0,0.0,147.6,130.0,0.0
33,1370.0,2013.0,7.0,200.0,0.0,2.0,167.0,2.0,0.0,28.0,0.0,0.0,1.0,3.0,156.0,0.0,1.0,0.0,7.0,2.0,0.0,2.0,0.0,579.0,0.0,2432.0,22830.0,1.0,14.0,1.0,0.0,0.0,154.2,14.0,0.0
34,2581.0,2014.0,5.0,200.0,0.0,0.0,4.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,996.0,0.0,27.0,19860.0,0.0,0.0,0.0,0.0,0.0,130.9,9.0,0.0
35,2248.0,2009.0,2.0,200.0,0.0,77.0,2.0,2.0,0.0,73.0,0.0,0.0,2.0,5.0,209.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,294.0,0.0,118.0,12510.0,0.0,4.0,0.0,0.0,0.0,163.2,47.0,1.0
36,3005.0,2019.0,5.0,200.0,0.0,1.0,18.0,0.0,0.0,3428.0,0.0,0.0,3.0,3.0,72.0,0.0,2.0,0.0,9.0,3.0,13.0,13.0,0.0,1082.0,0.0,117.0,6225.0,1.0,14.0,0.0,0.0,0.0,68.3,1268.0,0.0
37,21986.0,2015.0,14.0,200.0,0.0,0.0,163.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,932.0,0.0,32.0,19180.0,0.0,0.0,0.0,0.0,0.0,132.8,7.0,0.0
38,4946.0,2016.0,5.0,200.0,0.0,0.0,2.0,0.0,0.0,58.0,0.0,0.0,0.0,1.0,85.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,0.0,1872.0,0.0,109.0,22900.0,0.0,0.0,2.0,0.0,0.0,124.4,109.0,0.0
39,2118.0,2010.0,5.0,200.0,0.0,1.0,15.0,0.0,0.0,148.0,0.0,0.0,3.0,14.0,192.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,954.0,0.0,1911.0,19390.0,0.0,26.0,0.0,0.0,0.0,123.1,16.0,0.0
40,4856.0,2016.0,9.0,200.0,0.0,2.0,448.0,0.0,0.0,3211.0,0.0,0.0,0.0,25.0,85.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,724.0,0.0,63.0,17960.0,0.0,2.0,0.0,0.0,0.0,139.5,30.0,0.0
41,1666.0,2012.0,6.0,866.0,0.0,1.0,19.0,0.0,0.0,136.0,0.0,0.0,1.0,0.0,64.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,937.0,0.0,76.0,18410.0,0.0,1.0,1.0,0.0,0.0,133.2,14.0,0.0
42,1434.0,2008.0,2.0,634.0,0.0,2.0,18.0,1.0,0.0,151.0,0.0,0.0,2.0,41.0,324.0,0.0,0.0,0.0,9.0,5.0,9.0,0.0,0.0,1116.0,1.0,83.0,4575.0,0.0,12.0,1.0,0.0,0.0,55.5,1079.0,0.0
43,1907.0,2007.0,5.0,375.0,0.0,8.0,124.0,1.0,0.0,3182.0,0.0,0.0,1.0,1.0,53.0,0.0,29.5,0.0,2.0,1.0,0.0,0.0,1.0,331.0,0.0,245.0,13208.0,1.0,7.0,0.0,0.0,0.0,156.1,53.0,0.0
44,2416.0,2010.0,2.0,200.0,0.0,0.0,16.0,0.0,0.0,143.0,0.0,0.0,14.0,4.0,1621.0,0.0,2.0,0.0,6.0,22.0,7.0,0.0,3.0,981.0,0.0,903.0,7076.0,0.0,28.0,0.0,0.0,0.0,59.5,988.0,0.0
45,2864.0,2020.0,4.0,587.0,0.0,1.0,114.0,0.0,0.0,3903.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,0.0,0.0,1.0,130.0,6.0,0.0,1849.0,0.0,66.0,22350.0,0.0,15.0,0.0,0.0,0.0,176.5,45.0,0.0
46,3641.0,2014.0,22.0,200.0,0.0,4.0,185.0,1.0,0.0,3479.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1129.0,0.0,243.0,21110.0,0.0,30.0,0.0,0.0,0.0,122.8,57.0,0.0
47,2031.0,2019.0,2.0,1231.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,36.0,39.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,878.0,0.0,44.0,5133.0,0.0,47.0,2.0,0.0,0.0,109.3,1056.0,0.0
48,1316.0,2017.0,3.0,516.0,0.0,1.0,0.0,2.0,0.0,37.0,0.0,0.0,5.0,0.0,170.0,0.0,1.0,0.0,13.0,2.0,0.0,4.0,0.0,300.0,0.0,919.0,22830.0,0.0,96.0,3.0,0.0,0.0,128.9,30.0,0.0
49,1343.0,2009.0,2.0,200.0,0.0,7.0,136.0,1.0,0.0,3381.0,0.0,0.0,2.0,2.0,57.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,2341.0,1.0,1118.0,26360.0,1.0,3.0,0.0,0.0,0.0,148.0,31.0,0.0
50,2402.0,2008.0,29.0,550.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,17.0,74.0,1006.0,0.0,1.0,0.0,8.0,12.0,3.0,0.0,5.0,2216.0,4.0,3440.0,31290.0,9.0,325.0,3.0,4.0,0.0,144.2,60.0,0.0
51,4164.0,2019.0,1.0,200.0,0.0,7.0,2.0,0.0,0.0,15.0,0.0,0.0,6.0,2.0,670.0,0.2,15.0,0.0,8.0,6.0,0.0,7.0,5.0,189.0,0.0,3385.0,19530.0,0.0,282.0,0.0,3.0,0.0,181.8,15.0,0.0
52,3135.0,2014.0,6.0,200.0,0.0,4.0,138.0,0.0,0.0,3243.0,0.0,0.0,1.0,0.0,68.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,0.0,151.0,18950.0,0.0,2.0,0.0,0.0,0.0,132.1,13.0,0.0
53,3821.0,2014.0,3.0,200.0,0.0,0.0,2.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,198.0,0.0,24.0,18680.0,0.0,3.0,0.0,0.0,0.0,150.8,35.0,0.0
54,7149.0,2021.0,1.0,398.0,0.0,1.0,8.0,0.0,0.0,3284.0,0.0,0.0,6.0,2.0,396.0,0.0,0.0,0.0,12.0,4.0,0.0,4.0,0.0,227.0,0.0,2399.0,26280.0,0.0,368.0,0.0,7.0,0.0,124.7,26.0,0.0
55,6017.0,2018.0,3.0,1600.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,842.0,0.0,47.0,17140.0,0.0,0.0,0.0,0.0,0.0,132.5,8.0,0.0
56,3043.0,2013.0,7.0,200.0,0.0,2.0,110.0,0.0,0.0,3114.0,0.0,0.0,7.0,3.0,2079.0,0.3,1.0,0.0,3.0,15.0,18.0,7.0,1.0,2691.0,0.0,88.0,44770.0,0.0,6.0,0.0,0.0,0.0,146.6,24.0,0.0
57,2765.0,2017.0,4.0,550.0,0.0,4.0,471.0,0.0,0.0,3843.0,0.0,0.0,0.0,22.0,74.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,925.0,0.0,58.0,3607.0,0.0,8.0,0.0,0.0,0.0,63.2,1140.0,0.0
58,1653.0,2009.0,2.0,200.0,0.0,7.0,96.0,1.0,0.0,3033.0,0.0,0.0,3.0,8.0,220.0,0.0,2.0,0.0,10.0,5.0,10.0,14.0,0.0,1170.0,0.0,195.0,9677.0,0.0,25.0,0.0,0.0,0.0,70.2,1477.0,0.0
59,1704.0,2014.0,4.0,200.0,0.0,3.0,464.0,0.0,0.0,3960.0,0.0,0.0,1.0,6.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0,0.0,57.0,18720.0,0.0,1.0,0.0,0.0,0.0,125.8,12.0,0.0
60,2883.0,2012.0,6.0,200.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,3.0,0.0,233.0,0.0,5.0,0.0,3.0,3.0,0.0,4.0,0.0,1490.0,0.0,342.0,25120.0,0.0,126.0,0.0,2.0,0.0,150.3,21.0,0.0
61,4542.0,2011.0,50.0,550.0,0.0,1.0,7.0,0.0,0.0,733.0,0.0,0.0,10.0,48.0,468.0,0.0,6.5,0.0,3.0,8.0,1.0,0.0,2.0,634.0,0.0,173.0,18567.0,1.0,7.0,0.0,0.0,0.0,140.5,44.0,1.0
62,1728.0,2014.0,20.0,403.0,0.0,0.0,1.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,595.0,0.0,438.0,18410.0,0.0,12.0,0.0,0.0,0.0,131.5,29.0,0.0
63,9986.0,2008.0,8.0,200.0,0.0,0.0,63.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,6.0,0.0,7.0,0.0,3.0,0.0,2.0,13.0,0.0,456.0,1.0,20.0,18480.0,3.0,1.0,1.0,0.0,0.0,144.7,31.0,0.0
64,2108.0,2009.0,8.0,200.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,436.0,0.0,305.0,22560.0,0.0,5.0,0.0,0.0,0.0,148.0,45.0,0.0
65,2862.0,2021.0,1.0,400.0,0.0,4.0,0.0,0.0,0.0,92.0,0.0,0.0,16.0,6.0,1645.0,0.0,17.0,0.0,15.0,15.0,2.0,10.0,6.0,882.0,2.0,1686.0,20920.0,0.0,841.0,0.0,5.0,0.0,325.3,19.0,0.0
66,1374.0,2014.0,9.0,375.0,0.0,2.0,3.0,0.0,0.0,2228.0,0.0,0.0,2.0,1.0,227.0,0.0,5.0,0.0,6.0,3.0,0.0,3.0,1.0,506.0,0.0,10948.0,20030.0,0.0,110.0,0.0,1.0,0.0,126.9,10.0,0.0
67,5474.0,2009.0,9.0,200.0,0.0,1.0,4.0,1.0,0.0,47.0,0.0,0.0,0.0,16.0,17.0,0.0,2.0,0.0,8.0,4.0,0.0,12.0,0.0,1001.0,0.0,22.0,9914.0,0.0,21.0,0.0,0.0,0.0,68.9,1320.0,0.0
68,3468.0,2014.0,4.0,200.0,0.0,0.0,56.0,0.0,0.0,32.0,0.0,0.0,2.0,7.0,194.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,848.0,0.0,45.0,16670.0,0.0,3.0,0.0,0.0,0.0,123.6,15.0,0.0
69,2052.0,2011.0,12.0,200.0,0.0,3.0,28.0,0.0,0.0,2052.0,0.0,0.0,11.0,1.0,456.0,0.0,3.0,0.0,26.0,4.0,0.0,4.0,2.0,279.0,1.0,379.0,17720.0,0.0,116.0,0.0,1.0,0.0,132.8,23.0,0.0
70,1664.0,2012.0,3.0,548.0,0.0,4.0,3.0,1.0,0.0,47.0,0.0,0.0,1.0,41.0,94.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,931.0,0.0,126.0,17480.0,0.0,3.0,0.0,0.0,0.0,128.6,24.0,0.0
71,3090.0,2015.0,11.0,200.0,0.0,0.0,5.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,626.0,15070.0,0.0,0.0,0.0,0.0,0.0,150.1,10.0,0.0
72,1737.0,2014.0,5.0,200.0,0.0,0.0,17.0,0.0,0.0,6.0,0.0,0.0,0.0,26.0,123.0,0.0,0.0,11.0,103.0,1.0,15.0,2.0,0.0,1971.0,1.0,1392.0,30380.0,0.0,3.0,2.0,0.0,0.0,137.3,17.0,0.0
73,3270.0,2008.0,8.0,200.0,0.0,7.0,126.0,0.0,0.0,3197.0,0.0,0.0,1.0,4.0,82.0,0.0,0.5,0.0,3.0,1.0,5.0,0.0,1.0,2434.0,1.0,57.0,28234.0,1.0,6.0,1.0,0.0,0.0,145.2,74.0,0.0
74,5204.0,2018.0,2.0,200.0,0.0,0.0,5.0,0.0,0.0,201.0,0.0,0.0,3.0,0.0,192.0,0.0,4.0,0.0,6.0,3.0,2.0,6.0,0.0,1218.0,0.0,642.0,22190.0,0.0,113.0,0.0,3.0,0.0,124.4,28.0,0.0
75,1677.0,2017.0,2.0,200.0,0.0,6.0,1.0,2.0,0.0,25.0,0.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2280.0,0.0,38.0,33490.0,0.0,2.0,0.0,0.0,0.0,133.2,19.0,0.0
76,2619.0,2019.0,4.0,582.0,0.0,1.0,103.0,0.0,0.0,2774.0,0.0,0.0,0.0,4.0,19.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,1435.0,1.0,27.0,18430.0,2.0,30.0,0.0,0.0,0.0,144.4,567.0,0.0
77,5212.0,2020.0,4.0,1031.0,0.0,0.0,10.0,0.0,0.0,29.0,0.0,0.0,2.0,32.0,105.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,945.0,1.0,94.0,18720.0,0.0,2.0,0.0,0.0,0.0,127.7,28.0,0.0
78,1726.0,2015.0,10.0,200.0,0.0,0.0,193.0,7.0,0.0,513.0,0.0,0.0,2.0,0.0,145.0,0.0,6.0,1.0,0.0,3.0,0.0,4.0,0.0,513.0,0.0,2551.0,16110.0,0.0,7.0,0.0,0.0,0.0,169.9,148.0,0.0
79,1394.0,2012.0,12.0,200.0,0.0,3.0,24.0,0.0,0.0,3164.0,0.0,0.0,5.0,2.0,807.0,0.0,13.0,0.0,9.0,5.0,9.0,4.0,0.0,900.0,0.0,2380.0,16610.0,0.0,275.0,0.0,5.0,0.0,124.7,88.0,0.0
80,4531.0,2022.0,2.0,533.0,0.0,2.0,149.0,0.0,0.0,4243.0,0.0,0.0,0.0,15.0,26.0,0.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,1335.0,0.0,30.0,4552.0,2.0,69.0,0.0,0.0,0.0,112.9,1470.0,0.0
81,9109.0,2017.0,2.0,636.0,0.0,19.0,1.0,0.0,0.0,104.0,0.0,0.0,2.0,0.0,183.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,0.0,254.0,14240.0,0.0,16.0,0.0,0.0,0.0,140.7,4.0,1.0
82,2400.0,2010.0,3.0,401.0,0.0,3.0,4.0,0.0,0.0,2153.0,0.0,0.0,8.0,5.0,222.0,0.0,2.0,5.0,4.0,6.0,1.0,2.0,0.0,644.0,0.0,377.0,15815.0,0.0,8.0,1.0,0.0,2.0,134.2,28.0,0.0
83,4942.0,2018.0,3.0,200.0,0.0,2.0,135.0,1.0,0.0,3726.0,0.0,0.0,1.0,16.0,259.0,0.0,2.0,0.0,19.0,4.0,3.0,2.0,0.0,1161.0,0.0,314.0,5993.0,0.0,62.0,0.0,0.0,0.0,107.9,1443.0,0.0
84,4560.0,2013.0,7.0,200.0,0.0,2.0,2.0,0.0,0.0,61.0,0.0,0.0,4.0,0.0,140.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,1.0,1031.0,0.0,100.0,19460.0,0.0,26.0,0.0,2.0,0.0,128.6,6.0,0.0
85,2277.0,2021.0,5.0,200.0,0.0,2.0,0.0,0.0,0.0,937.0,0.0,0.0,6.0,0.0,368.0,2.3,10.5,0.0,9.0,4.0,0.0,8.0,0.0,177.0,1.0,886.0,18710.0,0.0,182.0,0.0,7.0,0.0,124.2,12.0,0.0
86,5204.0,2018.0,2.0,200.0,0.0,1.0,3.0,0.0,0.0,66.0,0.0,0.0,1.0,0.0,94.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,1200.0,0.0,312.0,22720.0,0.0,29.0,0.0,1.0,0.0,124.8,22.0,0.0
87,1700.0,2011.0,6.0,557.0,0.0,1.0,183.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1000.0,0.0,33.0,26240.0,0.0,0.0,0.0,0.0,1.0,145.1,24.0,0.0
88,1191.0,2012.0,16.0,391.0,0.0,4.0,5.0,4.0,0.0,2663.0,0.0,0.0,1.0,8.0,61.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,335.0,0.0,22.0,18430.0,0.0,6.0,0.0,0.0,0.0,137.7,25.0,0.0
89,1338.0,2016.0,10.0,200.0,0.0,0.0,12.0,0.0,0.0,145.0,0.0,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,802.0,0.0,137.0,17810.0,0.0,3.0,0.0,0.0,0.0,131.3,29.0,0.0
90,3514.0,2014.0,14.0,550.0,0.0,2.0,167.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,2.0,0.0,16.0,2.0,0.0,1033.0,0.0,209.0,21230.0,0.0,2.0,0.0,0.0,0.0,126.6,118.0,0.0
91,7706.0,2009.0,4.0,200.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,2.0,1.0,223.0,0.0,4.0,2.0,5.0,5.0,1.0,3.0,0.0,1625.0,3.0,3597.0,23417.0,4.0,5.0,1.0,0.0,0.0,151.5,41.0,0.0
92,1355.0,2014.0,4.0,200.0,0.0,1.0,123.0,2.0,0.0,3439.0,0.0,0.0,2.0,15.0,71.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,2485.0,0.0,160.0,37780.0,0.0,2.0,1.0,0.0,0.0,138.6,26.0,0.0
