ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FE,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,TI,V,V40,ZN,Y_LABEL
2046.0,2013.0,8.0,200.0,0.0,3.0,114.0,0.0,0.0,3153.0,0.0,0.0,0.0,139.0,16.0,0.0,2.0,0.0,19.0,2.0,4.0,11.0,0.0,900.0,0.0,10.0,4481.0,0.0,3.0,0.0,0.0,0.0,72.8,1011.0,0.0
2099.0,2014.0,2.0,200.0,0.0,4.0,200.0,0.0,0.0,3380.0,0.0,0.0,0.0,69.0,12.0,0.0,1.0,0.0,10.0,3.0,46.0,5.0,0.0,859.0,67.0,12.0,8494.0,0.0,7.0,4.0,0.0,0.0,72.0,1006.0,0.0
1608.0,2008.0,3.0,375.0,0.0,8.0,87.0,1.0,0.0,3102.0,0.0,0.0,0.0,538.0,23.0,0.0,4.0,0.0,83.0,1.0,1.0,10.0,0.0,1045.0,0.0,20.0,4939.0,0.0,7.0,0.0,0.0,0.0,66.6,1117.0,0.0
1161.0,2011.0,8.0,200.0,0.0,7.0,4.0,5.0,0.0,2804.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,256.0,1.0,3.0,5.0,0.0,1192.0,3.0,3.0,7121.0,3.0,3.0,0.0,1.0,2.0,79.0,1346.0,0.0
8704.0,2022.0,4.0,550.0,0.0,1.0,26.0,0.0,0.0,3159.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,61.0,0.0,8.0,2.0,0.0,841.0,0.0,9.0,4903.0,0.0,2.0,0.0,0.0,0.0,76.7,1051.0,0.0
2808.0,2009.0,5.0,200.0,0.0,1.0,53.0,0.0,0.0,73.0,0.5,0.0,1.0,346.0,21.0,0.0,10.0,0.0,13.0,0.0,1.0,11.0,0.0,971.0,1.0,19.0,8683.0,2.0,7.0,1.0,0.0,0.0,64.2,1126.0,0.0
1415.0,2018.0,6.0,200.0,0.0,14.0,4.0,11.0,0.0,2418.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,13.0,0.0,0.0,2.0,0.0,1079.0,0.0,5.0,4831.0,0.0,5.0,0.0,0.0,0.0,72.1,1209.0,0.0
1686.0,2019.0,3.0,886.0,0.0,2.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,5.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,258.0,0.0,15.0,1184.0,0.0,4.0,0.0,0.0,0.0,35.7,13.0,0.0
2750.0,2009.0,4.0,200.0,1.0,5.0,122.0,1.0,0.0,2983.0,0.0,0.0,0.0,273.0,16.0,0.0,2.0,0.0,206.0,0.0,136.0,8.0,0.0,1018.0,0.0,46.0,4224.0,0.0,6.0,0.0,0.0,0.0,79.8,1042.0,0.0
4637.0,2022.0,4.0,694.0,0.0,2.0,8.0,0.0,0.0,3218.0,0.0,0.0,0.0,1.0,10.0,0.0,4.0,0.0,11.0,0.0,1.0,3.0,0.0,810.0,1.0,6.0,3613.0,0.0,3.0,0.0,0.0,0.0,68.2,972.0,0.0
1758.0,2016.0,3.0,200.0,0.0,1.0,18.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,11.0,0.0,48.0,4.0,0.0,1013.0,0.0,5.0,6397.0,0.0,3.0,0.0,0.0,0.0,73.3,1148.0,0.0
1767.0,2009.0,13.0,200.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,9.0,0.0,5.0,0.0,257.0,0.0,112.0,4.0,0.0,719.0,0.0,12.0,5535.0,0.0,7.0,0.0,0.0,0.0,90.7,843.0,1.0
2063.0,2013.0,11.0,200.0,0.0,1.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,696.0,0.0,37.0,31.0,0.0,906.0,1.0,18.0,3632.0,1.0,4.0,0.0,0.0,0.0,61.9,1024.0,0.0
1710.0,2008.0,21.0,910.0,0.0,2.0,22.0,0.0,0.0,136.0,0.5,0.0,0.0,479.0,22.0,0.0,1.0,0.0,11.0,1.0,180.0,3.0,0.0,1193.0,0.0,18.0,6595.0,2.0,7.0,0.0,0.0,0.0,81.4,1380.0,0.0
1193.0,2009.0,13.0,393.0,0.0,4.0,12.0,3.0,0.0,3013.0,0.0,0.0,0.0,403.0,20.0,0.0,1.0,0.0,244.0,0.0,97.0,9.0,0.0,927.0,0.0,18.0,3851.0,0.0,5.0,0.0,0.0,0.0,71.6,1020.0,0.0
6539.0,2019.0,8.0,200.0,0.0,0.0,5.0,0.0,0.0,69.0,0.0,0.0,0.0,1.0,31.0,0.0,2.0,0.0,260.0,0.0,11.0,4.0,0.0,1205.0,0.0,18.0,7362.0,0.0,3.0,0.0,0.0,0.0,75.6,1377.0,1.0
3202.0,2015.0,14.0,200.0,0.0,2.0,342.0,0.0,0.0,3520.0,0.0,0.0,0.0,3.0,27.0,0.0,2.0,0.0,13.0,0.0,24.0,9.0,0.0,884.0,0.0,26.0,8273.0,0.0,7.0,0.0,0.0,0.0,64.4,974.0,0.0
2050.0,2017.0,3.0,200.0,0.0,2.0,77.0,0.0,0.0,2263.0,0.0,0.0,0.0,4.0,10.0,0.0,2.0,0.0,12.0,0.0,3.0,13.0,0.0,1060.0,2.0,28.0,5286.0,0.0,3.0,0.0,0.0,0.0,71.1,1156.0,1.0
1355.0,2008.0,19.0,550.0,0.0,2.0,94.0,3.0,0.0,3277.0,0.0,0.0,0.0,458.0,20.0,0.0,1.0,1.0,15.0,1.0,127.0,10.0,0.0,1264.0,0.0,24.0,5190.0,0.0,6.0,0.0,0.0,0.0,76.9,1283.0,0.0
6539.0,2019.0,7.0,200.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,31.0,0.0,1.0,0.0,211.0,1.0,51.0,9.0,0.0,1280.0,0.0,11.0,7452.0,0.0,4.0,0.0,0.0,0.0,75.9,1389.0,0.0
3398.0,2020.0,1.0,2778.0,0.0,0.0,4.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,13.0,0.0,0.0,4.0,1.0,948.0,2.0,5.0,4160.0,0.0,5.0,0.0,0.0,0.0,109.5,964.0,0.0
5540.0,2021.0,14.0,200.0,0.0,0.0,2.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,49.0,0.0,2.0,6.0,2.0,865.0,2.0,15.0,4074.0,1.0,2.0,0.0,0.0,0.0,71.6,899.0,0.0
2005.0,2011.0,4.0,200.0,0.0,3.0,424.0,0.0,0.0,3283.0,0.0,0.0,1.0,520.0,18.0,0.0,6.0,0.0,375.0,1.0,0.0,20.0,0.0,995.0,5.0,7.0,3794.0,1.0,9.0,1.0,0.0,0.0,52.4,996.0,0.0
1361.0,2008.0,22.0,550.0,0.0,4.0,97.0,3.0,0.0,3425.0,0.0,0.0,0.0,499.0,23.0,0.0,3.0,0.0,5.0,1.0,37.0,20.0,0.0,1059.0,1.0,16.0,4933.0,0.0,7.0,1.0,0.0,0.0,59.0,1197.0,0.0
2406.0,2017.0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,9.0,0.0,42.0,4.0,0.0,916.0,0.0,7.0,9412.0,0.0,7.0,1.0,0.0,0.0,67.0,1051.0,0.0
10828.0,2012.0,10.0,200.0,0.0,1.0,12.0,0.0,0.0,47.0,0.0,0.0,0.0,262.0,25.0,0.0,3.0,1.0,46.0,0.0,6.0,4.0,0.0,1170.0,1.0,23.0,7129.0,0.0,3.0,0.0,0.0,0.0,64.8,1156.0,0.0
2043.0,2016.0,23.0,200.0,0.0,1.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,0.0,18.0,0.0,201.0,7.0,0.0,1142.0,0.0,25.0,4296.0,0.0,3.0,0.0,0.0,0.0,76.1,1198.0,0.0
2136.0,2009.0,8.0,200.0,0.0,0.0,2.0,0.0,0.0,57.0,0.0,0.0,0.0,395.0,21.0,0.0,2.5,0.0,11.0,1.0,140.0,12.0,0.0,1181.0,0.0,20.0,4824.0,0.0,6.0,0.0,0.0,0.0,71.8,1343.0,0.0
2276.0,2011.0,7.0,200.0,0.0,3.0,3.0,0.0,0.0,1975.0,0.0,0.0,0.0,199.0,16.0,0.0,4.0,0.0,6.0,0.0,0.0,30.0,0.0,976.0,0.0,10.0,4049.0,0.0,4.0,0.0,0.0,0.0,69.8,1103.0,0.0
5275.0,2021.0,3.0,1481.0,0.0,2.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,29.0,0.0,1.0,4.0,0.0,948.0,6.0,9.0,3893.0,0.0,3.0,0.0,0.0,0.0,68.9,1038.0,0.0
6030.0,2018.0,2.0,200.0,0.0,3.0,3.0,0.0,0.0,84.0,0.0,0.0,0.0,325.0,15.0,0.0,7.0,0.0,10.0,1.0,65.0,8.0,0.0,1077.0,1.0,10.0,6122.0,2.0,7.0,1.0,0.0,0.0,72.6,1177.0,0.0
6812.0,2014.0,5.0,200.0,0.0,5.0,1.0,0.0,0.0,2424.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,243.0,0.0,12.0,2.0,0.0,1188.0,0.0,22.0,6978.0,0.0,4.0,0.0,0.0,0.0,78.9,1269.0,0.0
1172.0,2008.0,5.0,200.0,0.0,5.0,9.0,5.0,0.0,2808.0,0.0,0.0,1.0,609.0,21.0,0.0,8.0,0.0,19.0,1.0,14.0,19.0,1.0,1095.0,1.0,17.0,4491.0,3.0,9.0,1.0,0.0,0.0,54.6,1121.0,0.0
4243.0,2014.0,4.0,200.0,0.0,2.0,9.0,0.0,0.0,2358.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,117.0,0.0,0.0,2.0,0.0,686.0,0.0,10.0,5758.0,0.0,2.0,0.0,0.0,0.0,72.4,788.0,0.0
4266.0,2020.0,16.0,200.0,0.0,3.0,485.0,0.0,0.0,3666.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,9.0,0.0,6.0,6.0,0.0,991.0,0.0,11.0,3371.0,0.0,4.0,0.0,0.0,0.0,76.1,842.0,0.0
8407.0,2016.0,13.0,200.0,0.0,2.0,149.0,0.0,0.0,1119.0,0.0,0.0,0.0,48.0,11.0,0.0,2.0,0.0,6.0,3.0,5.0,24.0,0.0,1001.0,0.0,6.0,4008.0,0.0,2.0,0.0,0.0,0.0,65.8,1011.0,0.0
7367.0,2014.0,7.0,200.0,0.0,2.0,3.0,2.0,0.0,2278.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,29.0,0.0,42.0,2.0,0.0,1092.0,0.0,24.0,5322.0,0.0,6.0,0.0,0.0,0.0,76.6,1282.0,0.0
1414.0,2012.0,11.0,614.0,0.0,2.0,95.0,3.0,0.0,3070.0,0.0,0.0,0.0,10.0,9.0,0.0,3.0,0.0,9.0,0.0,3.0,15.0,0.0,1144.0,0.0,9.0,7637.0,0.0,2.0,0.0,0.0,0.0,70.3,1224.0,0.0
2058.0,2012.0,7.0,200.0,0.0,8.0,178.0,0.0,0.0,2713.0,0.0,0.0,1.0,534.0,33.0,0.0,2.0,0.0,10.0,4.0,141.0,11.0,1.0,1020.0,2.0,22.0,4318.0,0.0,6.0,1.0,0.0,0.0,76.3,1188.0,0.0
