ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FE,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,TI,U100,U75,U50,U25,U20,U14,U6,U4,V,V40,ZN,Y_LABEL
1732.0,2011.0,7.0,200.0,0.0,1.0,14.0,0.0,0.0,52.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,448.0,0.0,2.0,1377.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,5.0,12.0,16.0,628.0,9854.0,0.0,44.5,669.0,0.0
5698.0,2014.0,5.0,200.0,0.0,5.0,0.0,0.0,0.0,2266.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.0,0.0,5.0,7889.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,30.0,1326.0,6770.0,0.0,56.3,480.0,0.0
1736.0,2014.0,5.0,200.0,0.0,3.0,113.0,0.0,0.0,2623.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,398.0,0.0,8.0,1117.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3435.0,13088.0,0.0,44.6,633.0,0.0
6326.0,2013.0,6.0,200.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,75.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,2.0,11.0,5802.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,24.0,692.0,18874.0,0.0,57.9,415.0,0.0
4152.0,2017.0,4.0,204.0,0.0,1.0,1.0,0.0,0.0,3030.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,201.0,0.0,12.0,4067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,324.0,890.0,13704.0,14138.0,0.0,71.6,235.0,0.0
4486.0,2007.0,4.0,200.0,0.0,3.0,3.0,7.0,1.0,30.0,0.0,0.0,1.0,171.0,63.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,453.0,1.0,29.0,1977.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,25.5,416.5,6698.5,0.0,45.7,500.0,1.0
1350.0,2014.0,2.0,550.0,0.0,2.0,1.0,1.0,0.0,2486.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,423.0,1.0,8.0,2379.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,60.0,91.0,236.0,1948.0,9837.0,0.0,45.8,625.0,0.0
8009.0,2009.0,3.0,200.0,0.0,164.0,2.0,2.0,0.0,154.0,0.0,0.0,0.0,21.0,14.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0,298.0,1.0,16.0,6329.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,103.0,4555.5,16929.0,0.0,63.9,325.0,1.0
2052.0,2008.0,4.0,200.0,0.0,9.0,10.0,1.0,0.0,398.0,0.0,0.0,0.0,172.0,28.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,510.0,2.0,18.0,1546.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,28.0,327.0,7864.0,27298.0,0.0,43.1,705.0,0.0
5934.0,2016.0,8.0,200.0,0.0,0.0,3.0,0.0,0.0,91.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,439.0,0.0,17.0,1265.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,11.0,4553.0,22992.0,0.0,43.9,681.0,0.0
2397.0,2015.0,2.0,200.0,0.0,6.0,133.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,336.0,0.0,241.0,6728.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,7887.0,36333.0,0.0,44.5,435.0,0.0
1751.0,2014.0,6.0,200.0,0.0,2.0,1.0,0.0,0.0,27.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,256.0,0.0,18.0,10250.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,1763.0,29840.0,0.0,67.1,331.0,0.0
1924.0,2016.0,4.0,200.0,0.0,4.0,152.0,0.0,0.0,3457.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,417.0,0.0,12.0,1055.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,19.0,452.0,10442.0,0.0,57.8,568.0,0.0
2148.0,2011.0,2.0,200.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,87.0,70.0,0.0,0.5,0.0,11.0,1.0,3.0,1.0,0.0,309.0,1.0,102.0,4711.0,1.0,45.0,0.0,0.0,0.0,0.0,1.0,34.0,274.0,812.5,13748.5,31802.0,0.0,53.8,357.0,0.0
2444.0,2013.0,7.0,200.0,0.0,0.0,2.0,0.0,0.0,62.0,0.0,0.0,0.0,122.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,6.0,1253.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,67.0,795.0,3655.0,0.0,44.9,678.0,0.0
6546.0,2017.0,4.0,496.0,0.0,0.0,6.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,325.0,0.0,9.0,6333.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,614.0,8800.0,0.0,67.8,368.0,0.0
8064.0,2017.0,3.0,200.0,0.0,0.0,15.0,0.0,0.0,914.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,478.0,0.0,11.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,110.0,8751.0,24354.0,0.0,43.7,701.0,0.0
5780.0,2017.0,5.0,200.0,0.0,2.0,118.0,0.0,0.0,2079.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,212.0,0.0,8.0,9585.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,21.0,680.0,3962.0,0.0,66.7,278.0,0.0
2037.0,2009.0,21.0,200.0,0.0,3.0,2.0,0.0,0.0,2321.0,0.0,0.0,1.0,72.0,75.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,307.0,0.0,52.0,8716.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,159.0,299.0,1110.0,27056.0,31641.0,0.0,45.4,358.0,0.0
1413.0,2016.0,5.0,200.0,0.0,5.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,302.0,0.0,18.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,40.0,190.0,8701.0,25317.0,0.0,44.6,412.0,0.0
2065.0,2018.0,8.0,565.0,0.0,1.0,4.0,0.0,0.0,134.0,0.0,0.0,0.0,16.0,0.0,0.0,2.5,0.0,7.0,0.0,0.0,0.0,0.0,308.0,0.0,5.0,6374.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,14.0,64.0,1665.0,13429.0,0.0,60.5,371.0,0.0
1380.0,2012.0,29.0,200.0,0.0,8.0,101.0,1.0,0.0,2972.0,0.0,0.0,0.0,114.0,2.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,364.0,2.0,20.0,3006.0,1.0,1.0,1.0,0.0,1.0,3.0,22.0,138.0,148.0,26.5,1034.0,9852.5,0.0,48.3,461.0,0.0
1219.0,2008.0,7.0,419.0,0.0,1.0,15.0,0.0,1.0,114.0,0.0,0.0,2.0,95.0,53.0,0.0,7.0,0.0,4.0,1.0,6.0,1.0,0.0,373.0,0.0,35.0,4881.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,57.0,6015.0,42551.0,0.0,56.7,461.0,0.0
1364.0,2009.0,7.0,200.0,0.0,3.0,330.0,1.0,0.0,2992.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,5.0,5835.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,18.0,103.0,2302.0,5930.0,0.0,67.2,450.0,0.0
5186.0,2016.0,3.0,200.0,1.0,15.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,454.0,0.0,19.0,1176.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,30.0,1773.0,24368.0,0.0,45.9,686.0,0.0
2311.0,2016.0,5.0,200.0,0.0,0.0,8.0,0.0,0.0,26.0,0.0,0.0,0.0,16.0,15.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,230.0,0.0,104.0,8039.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,100.0,298.0,6341.0,121032.0,0.0,64.5,279.0,0.0
1181.0,2011.0,42.0,381.0,0.0,3.0,3.0,4.0,0.0,2812.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,414.0,0.0,7.0,1754.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,9.0,15.0,100.0,2103.0,6494.0,0.0,47.0,606.0,0.0
1689.0,2010.0,2.0,200.0,0.0,0.0,191.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,449.0,1.0,9.0,1117.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,31.0,67.0,343.0,7018.0,11992.0,0.0,44.2,687.0,0.0
1486.0,2011.0,7.0,200.0,0.0,3.0,90.0,0.0,0.0,2965.0,0.0,0.0,1.0,334.0,117.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,475.0,1.0,19.0,932.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,70.0,9798.0,31158.0,0.0,43.1,662.0,0.0
6542.0,2018.0,7.0,200.0,0.0,2.0,96.0,0.0,0.0,3152.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,267.0,0.0,17.0,5251.0,0.0,1.0,0.0,0.0,1.0,6.0,51.0,68.0,76.0,220.0,2510.0,7094.0,0.0,61.5,308.0,0.0
1310.0,2018.0,5.0,200.0,0.0,2.0,0.0,0.0,0.0,3223.0,0.0,0.0,0.0,6.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,236.0,0.0,11.0,3012.0,0.0,13.0,0.0,0.0,0.0,1.0,28.0,35.0,66.0,779.0,31009.0,32235.0,0.0,48.1,256.0,0.0
3097.0,2010.0,2.0,200.0,0.0,1.0,98.0,0.0,0.0,36.0,0.0,0.0,4.0,1.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,281.0,0.0,18.0,6733.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,84.0,3193.0,26289.0,0.0,67.0,348.0,0.0
