ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FH2O,FNOX,FOPTIMETHGLY,FOXID,FSO4,FTBN,FE,FUEL,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,SOOTPERCENTAGE,TI,V,V100,V40,ZN,Y_LABEL
1586.0,2009.0,3.0,200.0,0.0,2.0,1.0,0.0,0.0,1996.0,0.0,0.0,1.0,6.0,14.0,8.0,1.0,16.0,22.0,10.6,17.0,0.0,0.0,7.0,0.0,15.0,0.0,193.0,5.0,0.0,1195.0,1.0,15.0,5327.0,1.0,9.0,1.0,0.4,0.0,0.0,14.4,115.2,1358.0,0.0
1751.0,2009.0,2.0,200.0,0.0,2.0,9.0,0.0,0.0,230.0,1.0,0.0,2.0,8.0,16.0,11.0,0.0,14.0,25.0,10.9,36.0,0.0,0.0,15.0,0.0,90.0,1.0,11.0,1.0,0.0,1361.0,4.0,18.0,7048.0,0.0,5.0,3.0,1.4,0.0,0.0,14.1,113.0,1656.0,0.0
2653.0,2011.0,14.0,468.0,0.0,2.0,22.0,0.0,0.0,1976.0,0.0,0.0,0.0,4.0,16.0,7.0,0.0,15.0,22.0,8.8,10.0,0.0,0.0,4.0,0.0,109.0,0.0,186.0,3.0,0.0,1137.0,0.0,10.0,4537.0,0.0,14.0,1.0,0.7,0.0,0.0,14.7,117.2,1253.0,0.0
1830.0,2013.0,13.0,200.0,0.0,6.0,163.0,0.0,0.0,3624.0,0.0,0.0,6.0,135.0,14.0,9.0,1.0,15.0,24.0,10.3,65.0,0.0,0.0,3.0,0.0,471.0,1.0,189.0,3.0,0.0,933.0,9.0,14.0,3708.0,0.0,23.0,8.0,1.4,0.0,0.0,15.2,126.2,1193.0,0.0
2022.0,2019.0,4.0,375.0,0.0,4.0,16.0,0.0,0.0,3424.0,0.0,0.0,2.0,11.0,10.0,6.0,1.0,10.0,17.0,8.6,49.0,0.0,0.0,5.0,0.0,255.0,2.0,2.0,2.0,0.0,948.0,7.0,28.0,3745.0,0.0,9.0,11.0,0.6,0.0,0.0,13.0,86.5,1187.0,0.0
4031.0,2009.0,2.0,200.0,0.0,5.0,130.0,0.0,0.0,3200.0,0.0,0.0,2.0,3.0,12.0,7.0,1.0,12.0,23.0,8.7,23.0,0.0,0.0,1.5,0.0,14.0,0.0,12.0,0.0,1.0,903.0,5.0,20.0,11123.0,2.0,10.0,4.0,0.3,0.0,0.0,12.9,90.5,1060.0,0.0
1926.0,2008.0,5.0,200.0,0.0,10.0,94.0,0.0,0.0,3022.0,0.0,0.0,2.0,24.0,16.0,9.0,1.0,17.0,26.0,8.8,76.0,0.0,0.0,9.0,0.0,10.0,0.0,3.0,4.0,0.0,984.0,17.0,11.0,8150.0,0.0,5.0,4.0,0.8,0.0,0.0,13.3,97.5,1187.0,0.0
1386.0,2014.0,9.0,200.0,0.0,0.0,84.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,18.0,6.0,1.0,10.0,19.0,8.5,8.0,0.0,0.0,0.0,0.0,10.0,0.0,65.0,3.0,0.0,983.0,4.0,14.0,9816.0,0.0,8.0,0.0,0.1,0.0,0.0,13.5,105.1,1149.0,0.0
6713.0,2014.0,8.0,200.0,0.0,2.0,2.0,0.0,0.0,2024.0,0.0,0.0,2.0,9.0,14.0,8.0,0.0,16.0,21.0,9.4,25.0,0.0,0.0,2.0,0.0,13.0,0.0,206.0,3.0,0.0,1050.0,2.0,8.0,4327.0,0.0,5.0,2.0,0.7,0.0,0.0,14.1,113.4,1266.0,0.0
1662.0,2010.0,8.0,862.0,0.0,3.0,77.0,0.0,0.0,2347.0,0.0,0.0,1.0,8.0,14.0,6.0,0.0,11.0,19.0,10.2,42.0,0.0,0.0,3.0,0.0,505.0,2.0,176.0,4.0,0.0,900.0,4.0,13.0,3352.0,0.0,15.0,3.0,0.4,0.0,0.0,14.9,125.9,1055.0,1.0
1203.0,2021.0,2.0,403.0,0.0,3.0,5.0,3.0,0.0,1175.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,10.0,19.0,9.0,5.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,3.0,0.0,1165.0,0.0,12.0,3906.0,0.0,3.0,0.0,0.2,0.0,0.0,12.8,94.9,1267.0,0.0
4086.0,2011.0,5.0,200.0,0.0,1453.0,160.0,11.0,0.0,214.0,0.0,0.0,0.0,2.0,16.0,8.0,1.0,16.0,20.0,10.6,7.0,0.0,0.0,3.0,0.0,15.0,0.0,271.0,4.0,0.0,1212.0,2.0,8.0,4507.0,0.0,7.0,3.0,0.0,0.0,0.0,13.8,111.0,1515.0,1.0
1677.0,2014.0,2.0,200.0,0.0,4.0,177.0,0.0,0.0,3664.0,0.0,0.0,3.0,53.0,13.0,7.0,0.0,14.0,21.0,8.6,41.0,0.0,0.0,5.0,0.0,105.0,1.0,39.0,5.0,0.0,1039.0,2.0,27.0,4094.0,0.0,11.0,5.0,0.4,0.0,0.0,13.5,102.7,1282.0,0.0
3194.0,2015.0,7.0,200.0,0.0,2.0,99.0,0.0,0.0,77.0,0.0,0.0,3.0,62.0,23.0,12.0,0.0,18.0,28.0,10.4,129.0,0.0,0.0,4.0,0.0,127.0,2.0,246.0,5.0,1.0,1230.0,19.0,23.0,5645.0,2.0,16.0,21.0,1.6,0.0,0.0,16.0,133.3,1561.0,0.0
1725.0,2018.0,11.0,550.0,0.0,8.0,9.0,0.0,0.0,3416.0,0.0,2.0,2.0,4.0,16.0,7.0,1.0,13.0,22.0,8.3,24.0,0.0,0.0,2.0,0.0,18.0,2.0,42.0,4.0,0.0,965.0,2.0,22.0,10500.0,2.0,9.0,1.0,0.8,0.0,0.0,12.5,86.5,1070.0,0.0
1754.0,2014.0,8.0,200.0,0.0,0.0,142.0,2.0,0.0,10.0,0.0,0.0,2.0,3.0,13.0,9.0,1.0,17.0,21.0,8.1,33.0,0.0,0.0,2.0,0.0,252.0,0.0,0.0,1.0,0.0,908.0,2.0,17.0,4390.0,0.0,9.0,3.0,0.8,0.0,0.0,12.7,86.7,1114.0,0.0
3450.0,2011.0,3.0,200.0,0.0,4.0,213.0,0.0,0.0,2954.0,0.0,0.0,2.0,15.0,15.0,6.0,0.0,12.0,17.0,7.1,23.0,0.0,0.0,4.0,0.0,10.0,3.0,4.0,5.0,0.0,948.0,10.0,10.0,3980.0,0.0,12.0,15.0,0.0,0.0,0.0,11.6,85.1,1053.0,0.0
8807.0,2017.0,4.0,657.0,0.0,22.0,10.0,0.0,0.0,403.0,0.0,0.0,0.0,5.0,11.0,7.0,0.0,12.0,20.0,7.9,28.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,12.0,0.0,944.0,2.0,18.0,7987.0,0.0,6.0,1.0,0.4,0.0,0.0,12.3,85.5,1161.0,0.0
2872.0,2008.0,7.0,200.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,1.0,2.0,11.0,7.0,1.0,12.0,20.0,10.6,15.0,0.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,981.0,1.0,4.0,10971.0,0.0,5.0,0.0,0.7,0.0,0.0,13.2,94.5,1105.0,0.0
4817.0,2012.0,3.0,200.0,0.0,2.0,172.0,0.0,0.0,8.0,0.0,0.0,2.0,5.0,13.0,7.0,0.0,13.0,19.0,9.5,50.0,0.0,0.0,0.0,0.0,22.0,1.0,6.0,2.0,1.0,1269.0,4.0,19.0,9129.0,0.0,11.0,2.0,0.3,0.0,0.0,12.1,86.5,1609.0,0.0
1730.0,2016.0,6.0,200.0,0.0,9.0,11.0,0.0,0.0,149.0,0.0,0.0,0.0,5.0,10.0,6.0,0.0,11.0,17.0,7.7,43.0,0.0,0.0,3.0,0.0,10.0,0.0,36.0,9.0,0.0,952.0,0.0,22.0,4238.0,0.0,30.0,0.0,0.4,0.0,0.0,12.5,90.3,1166.0,0.0
2320.0,2015.0,16.0,200.0,0.0,2.0,7.0,0.0,0.0,38.0,0.0,0.0,1.0,8.0,17.0,9.0,2.0,14.0,23.0,7.2,53.0,0.0,0.0,0.0,0.0,12.0,1.0,56.0,12.0,0.0,952.0,13.0,9.0,6450.0,0.0,8.0,2.0,0.7,0.0,0.0,12.8,99.5,1135.0,0.0
1399.0,2016.0,14.0,200.0,0.0,0.0,19.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,14.0,5.0,1.0,12.0,20.0,8.5,12.0,0.0,0.0,2.0,0.0,10.0,0.0,43.0,1.0,0.0,921.0,0.0,27.0,10280.0,0.0,11.0,0.0,0.1,0.0,0.0,13.2,92.0,997.0,0.0
1959.0,2008.0,5.0,200.0,0.0,2.0,14.0,2.0,0.0,132.0,0.0,0.0,2.0,15.0,19.0,12.0,1.0,19.0,28.0,11.3,52.0,0.0,0.0,12.0,0.0,17.0,1.0,205.0,3.0,0.0,1123.0,2.0,7.0,5854.0,0.0,9.0,3.0,2.1,0.0,0.0,15.6,131.0,1351.0,0.0
10536.0,2020.0,5.0,200.0,0.0,14.0,23.0,0.0,0.0,377.0,0.0,0.0,2.0,1.0,17.0,7.0,0.0,15.0,23.0,9.0,20.0,0.0,0.0,3.0,0.0,28.0,1.0,1.0,1.0,0.0,1103.0,2.0,16.0,7633.0,1.0,6.0,0.0,0.2,0.0,0.0,13.65,113.4,1098.0,0.0
3254.0,2009.0,3.0,200.0,0.0,0.0,10.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,9.0,17.0,8.4,11.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,3.0,0.0,1030.0,0.0,9.0,4991.0,0.0,5.0,0.0,0.2,0.0,0.0,12.8,92.6,1184.0,0.0
2740.0,2019.0,6.0,200.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,8.0,15.0,8.0,0.0,12.0,19.0,9.0,12.0,0.0,0.0,3.0,0.0,11.0,1.0,37.0,3.0,0.0,947.0,3.0,15.0,5574.0,1.0,4.0,0.0,0.6,0.0,0.0,16.3,126.0,1076.0,0.0
3875.0,2015.0,4.0,200.0,0.0,2.0,6.0,0.0,0.0,76.0,0.0,0.0,2.0,8.0,16.0,7.0,2.0,12.0,22.0,8.0,22.0,0.0,0.0,5.0,0.0,9.0,0.0,43.0,0.0,0.0,948.0,3.0,19.0,8952.0,1.0,22.0,2.0,1.2,0.0,0.0,14.5,101.4,1077.0,0.0
1709.0,2008.0,19.0,550.0,1.0,6.0,1.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,11.0,7.0,1.0,7.0,18.0,9.1,23.0,0.0,0.0,8.0,1.0,7.0,1.0,102.0,1.0,0.0,793.0,8.0,12.0,6726.0,2.0,7.0,0.0,1.1,0.0,0.0,13.45,111.0,900.0,1.0
1528.0,2022.0,1.0,418.0,0.0,2.0,5.0,0.0,0.0,3748.0,0.0,0.0,0.0,4.0,8.0,5.0,0.0,9.0,17.0,8.0,22.0,1.0,0.0,7.0,0.0,20.0,0.0,0.0,4.0,0.0,1058.0,0.0,5.0,4193.0,3.0,0.0,0.0,0.4,0.0,0.0,13.6,100.6,1074.0,0.0
2095.0,2018.0,16.0,200.0,0.0,1.0,117.0,5.0,0.0,3326.0,0.0,0.0,1.0,2.0,16.0,8.0,0.0,17.0,22.0,9.3,12.0,0.0,0.0,3.0,0.0,12.0,0.0,254.0,4.0,0.0,1147.0,0.0,15.0,5249.0,0.0,5.0,2.0,0.4,0.0,0.0,14.6,119.2,1399.0,0.0
2249.0,2022.0,1.0,395.0,0.0,5.0,73.0,0.0,0.0,4001.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,10.0,19.0,9.2,17.0,1.0,0.0,0.0,0.0,10.0,0.0,38.0,0.0,1.0,959.0,3.0,5.0,2709.0,0.0,4.0,0.0,0.7,0.0,0.0,12.2,90.8,945.0,0.0
1408.0,2015.0,3.0,200.0,0.0,9.0,124.0,0.0,0.0,3188.0,0.0,0.0,1.0,1.0,10.0,5.0,1.0,10.0,19.0,8.8,11.0,0.0,0.0,2.0,0.0,11.0,0.0,2.0,3.0,0.0,1033.0,2.0,16.0,4785.0,0.0,4.0,2.0,0.8,0.0,0.0,12.8,94.3,1069.0,0.0
1350.0,2018.0,4.0,384.0,0.0,1.0,2.0,0.0,0.0,3289.0,0.0,0.0,2.0,9.0,12.0,7.0,0.0,13.0,20.0,8.5,18.0,0.0,0.0,7.0,0.0,752.0,2.0,38.0,5.0,1.0,938.0,3.0,18.0,3896.0,0.0,24.0,1.0,0.9,0.0,0.0,14.3,108.6,1186.0,0.0
1423.0,2014.0,2.0,200.0,0.0,2.0,59.0,4.0,0.0,248.0,0.0,0.0,0.0,3.0,14.0,8.0,0.0,16.0,21.0,9.5,9.0,0.0,0.0,2.0,0.0,9.0,0.0,202.0,2.0,0.0,1003.0,0.0,15.0,4360.0,0.0,4.0,0.0,0.2,0.0,0.0,13.1,104.2,1154.0,0.0
1341.0,2008.0,33.0,550.0,1.0,0.0,0.0,2.0,0.0,27.0,0.0,0.0,2.0,2.0,13.0,9.0,1.0,12.0,19.0,9.6,80.0,0.0,0.0,5.0,0.0,1117.0,1.0,1.0,1.0,1.0,920.0,4.0,6.0,7376.0,2.0,11.0,1.0,0.5,0.0,0.0,12.9,92.1,1284.0,0.0
1357.0,2008.0,13.0,550.0,1.0,4.0,111.0,6.0,0.0,3663.0,0.0,0.0,2.0,3.0,13.0,9.0,0.0,17.0,22.0,9.6,23.0,0.0,0.0,7.0,0.0,14.0,1.0,234.0,4.0,0.0,1126.0,3.0,15.0,5129.0,1.0,10.0,2.0,0.4,0.0,0.0,14.9,123.3,1300.0,0.0
1686.0,2008.0,6.0,886.0,0.0,0.0,13.0,0.0,0.0,142.0,0.0,0.0,6.0,10.0,19.0,9.0,3.0,16.0,27.0,8.1,130.0,0.0,0.0,7.0,0.0,20.0,2.0,68.0,5.0,1.0,1370.0,13.0,119.0,5026.0,0.0,24.0,2.0,0.8,0.0,0.0,15.7,121.3,1596.0,0.0
1000.0,2010.0,4.0,200.0,0.0,7.0,9.0,0.0,0.0,398.0,0.0,0.0,15.0,19.0,24.0,14.0,1.0,21.0,32.0,7.2,114.0,0.0,0.0,8.0,0.0,218.0,2.0,94.0,4.0,1.0,1135.0,30.0,16.0,7015.0,0.0,32.0,2.0,2.4,0.0,0.0,16.7,136.9,1353.0,1.0
1690.0,2014.0,5.0,200.0,0.0,5.0,78.0,0.0,0.0,28.0,0.0,0.0,3.0,3.0,16.0,9.0,0.0,17.0,22.0,9.4,18.0,0.0,0.0,3.0,0.0,14.0,0.0,235.0,3.0,0.0,1096.0,0.0,20.0,4580.0,0.0,12.0,0.0,0.3,0.0,0.0,13.4,104.0,1329.0,0.0
1192.0,2021.0,2.0,392.0,0.0,2.0,3.0,0.0,0.0,3799.0,0.0,0.0,0.0,1.0,9.0,5.0,0.0,8.0,17.0,9.0,15.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,943.0,0.0,9.0,4358.0,0.0,3.0,0.0,0.5,0.0,0.0,12.7,92.8,1111.0,0.0
1524.0,2007.0,4.0,200.0,0.0,5.0,116.0,0.0,0.0,3322.0,0.0,0.0,3.0,40.0,12.0,6.0,0.0,12.0,18.0,8.5,24.0,0.0,0.0,5.0,0.0,76.0,1.0,31.0,6.0,0.0,1233.0,2.0,2.0,4960.0,0.0,7.0,3.0,0.1,0.0,0.0,12.8,95.7,1384.0,0.0
5926.0,2019.0,1.0,200.0,0.0,0.0,11.0,0.0,0.0,146.0,0.0,0.0,2.0,17.0,17.0,8.0,0.0,12.0,18.0,8.1,37.0,0.0,0.0,2.0,2.0,806.0,2.0,43.0,5.0,0.0,1080.0,2.0,5.0,4183.0,0.0,29.0,3.0,1.3,0.0,0.0,14.7,113.0,1264.0,0.0
1338.0,2016.0,10.0,200.0,0.0,2.0,2.0,0.0,0.0,2735.0,0.0,0.0,0.0,2.0,10.0,8.0,0.0,13.0,22.0,8.6,17.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,5.0,0.0,1006.0,0.0,5.0,8042.0,0.0,3.0,1.0,0.8,0.0,0.0,13.9,102.4,1220.0,0.0
1749.0,2019.0,9.0,536.0,0.0,1.0,2.0,0.0,0.0,3139.0,0.0,0.0,0.0,3.0,11.0,6.0,0.0,10.0,19.0,8.7,19.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,3.0,0.0,864.0,0.0,6.0,4200.0,0.0,5.0,0.0,0.3,0.0,0.0,12.7,92.5,1052.0,0.0
1461.0,2009.0,2.0,200.0,0.0,4.0,3.0,1.0,0.0,2556.0,0.0,0.0,4.0,31.0,15.0,9.0,0.0,13.0,23.0,10.6,74.0,0.0,0.0,28.0,0.0,50.0,2.0,3.0,4.0,1.0,981.0,2.0,35.0,5421.0,1.0,13.0,4.0,1.6,0.0,0.0,14.2,111.0,1296.0,0.0
4467.0,2021.0,3.0,530.0,0.0,2.0,6.0,0.0,0.0,3307.0,0.0,0.0,2.0,5.0,10.0,6.0,0.0,9.0,20.0,8.4,12.0,0.0,0.0,2.5,0.0,10.0,0.0,0.0,2.0,2.0,1085.0,0.0,26.0,4084.0,0.0,4.0,0.0,1.2,0.0,0.0,13.1,96.8,1087.0,0.0
2364.0,2009.0,6.0,200.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,1.0,4.0,11.0,7.0,0.0,12.0,19.0,8.1,23.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1013.0,2.0,1.0,11300.0,0.0,7.0,1.0,0.2,0.0,0.0,11.5,81.3,1191.0,0.0
4159.0,2020.0,1.0,480.0,0.0,0.0,7.0,0.0,0.0,48.0,0.0,0.0,2.0,1.0,8.0,5.0,1.0,9.0,20.0,8.6,10.0,0.0,0.0,5.0,0.0,14.0,0.0,1.0,4.0,0.0,1128.0,0.0,5.0,4355.0,0.0,4.0,0.0,0.6,0.0,0.0,13.1,96.3,1122.0,0.0
2376.0,2018.0,3.0,1600.0,0.0,3.0,18.0,0.0,0.0,254.0,0.0,0.0,0.0,1.0,15.0,10.0,1.0,18.0,24.0,8.7,13.0,0.0,0.0,3.0,0.0,11.0,0.0,198.0,2.0,0.0,948.0,1.0,8.0,3338.0,0.0,4.0,1.0,0.8,0.0,0.0,13.5,94.0,1140.0,0.0
1360.0,2016.0,8.0,375.0,0.0,3.0,382.0,0.0,0.0,3193.0,0.0,1.0,2.0,2.0,12.0,6.0,0.0,11.0,18.0,8.2,22.0,0.0,0.0,2.0,0.0,11.0,0.0,15.0,4.0,0.0,1025.0,1.0,8.0,4478.0,1.0,4.0,3.0,0.2,0.0,0.0,13.4,97.3,1142.0,0.0
4546.0,2012.0,4.0,200.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,15.0,3.0,12.0,5.0,1.0,6.0,17.0,10.4,35.0,0.0,0.0,3.0,0.0,751.0,1.0,6.0,1.0,0.0,623.0,21.0,36.0,6953.0,1.0,2.0,2.0,0.1,0.0,0.0,12.3,124.7,761.0,0.0
1732.0,2015.0,6.0,200.0,0.0,1.0,129.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,8.0,0.0,16.0,21.0,8.9,17.0,0.0,0.0,5.0,0.0,13.0,0.0,239.0,2.0,0.0,1123.0,4.0,16.0,5135.0,0.0,11.0,4.0,0.3,0.0,0.0,14.4,112.1,1314.0,0.0
1395.0,2015.0,8.0,200.0,0.0,2.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,2.0,12.0,7.0,0.0,10.0,18.0,9.2,13.0,0.0,0.0,2.0,0.0,66.0,0.0,14.0,3.0,0.0,964.0,2.0,9.0,10410.0,1.0,5.0,3.0,0.2,0.0,0.0,15.4,126.4,1126.0,0.0
1368.0,2014.0,5.0,568.0,0.0,2.0,2.0,1.0,0.0,2439.0,0.0,0.0,4.0,61.0,13.0,7.0,0.0,13.0,20.0,7.8,76.0,0.0,0.0,6.0,0.0,9.0,4.0,3.0,5.0,0.0,941.0,7.0,3.0,4260.0,0.0,14.0,5.0,0.7,0.0,0.0,13.1,98.5,1186.0,0.0
1380.0,2012.0,29.0,200.0,0.0,4.0,3.0,0.0,0.0,2652.0,0.0,0.0,2.0,78.0,19.0,13.0,0.0,23.0,29.0,9.7,62.0,0.0,0.0,3.0,0.0,21.0,1.0,173.0,1.0,0.0,1096.0,10.0,13.0,5115.0,1.0,20.0,3.0,1.4,0.0,0.0,13.6,106.4,1431.0,0.0
1333.0,2018.0,3.0,200.0,0.0,2.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,14.0,10.0,1.0,18.0,23.0,9.3,16.0,0.0,0.0,0.0,0.0,9.0,0.0,232.0,4.0,0.0,981.0,0.0,6.0,4331.0,0.0,4.0,0.0,0.6,0.0,0.0,14.0,111.2,1232.0,0.0
3509.0,2020.0,5.0,209.0,0.0,2.0,31.0,0.0,0.0,3407.0,0.0,0.0,12.0,6.0,16.0,9.0,1.0,16.0,22.0,9.1,64.0,2.5,0.0,8.0,0.0,285.0,2.0,2.0,2.0,1.0,935.0,15.0,27.0,5714.0,1.0,19.0,9.0,0.2,1.0,0.0,13.15,82.8,1136.0,0.0
4640.0,2014.0,7.0,200.0,0.0,2.0,485.0,0.0,0.0,3443.0,0.0,0.0,0.0,2.0,12.0,6.0,0.0,13.0,18.0,6.8,10.0,0.0,0.0,0.0,0.0,1038.0,0.0,63.0,1.0,0.0,1011.0,2.0,5.0,3192.0,0.0,4.0,0.0,0.3,0.0,0.0,12.9,94.8,1171.0,0.0
1368.0,2014.0,5.0,568.0,0.0,0.0,20.0,0.0,0.0,123.0,0.0,0.0,0.0,6.0,15.0,9.0,1.0,16.0,24.0,9.2,34.0,0.0,0.0,2.0,0.0,13.0,0.0,3.0,2.0,0.0,1085.0,3.0,23.0,10970.0,0.0,0.0,0.0,0.6,0.0,0.0,12.8,94.2,1421.0,0.0
1520.0,2008.0,3.0,550.0,0.0,5.0,117.0,1.0,0.0,22.0,0.0,0.0,3.0,24.0,12.0,5.0,0.0,11.0,17.0,8.1,50.0,0.0,0.0,2.0,0.0,43.0,1.0,1.0,10.0,0.0,1002.0,10.0,16.0,3900.0,0.0,17.0,16.0,0.3,0.0,0.0,12.8,94.3,1259.0,0.0
6334.0,2017.0,2.0,200.0,0.0,1.0,5.0,0.0,0.0,3278.0,0.0,0.0,0.0,2.0,16.0,7.0,1.0,15.0,22.0,9.2,18.0,0.0,0.0,3.0,0.0,15.0,0.0,45.0,5.0,0.0,970.0,0.0,9.0,4894.0,0.0,13.0,0.0,0.5,0.0,0.0,13.3,92.5,1164.0,0.0
2347.0,2011.0,8.0,461.0,0.0,0.0,2.0,0.0,0.0,2912.0,0.0,0.0,1.0,2.0,13.0,7.0,0.0,15.0,21.0,9.1,18.0,0.0,0.0,2.0,0.0,11.0,0.0,199.0,2.0,0.0,996.0,0.0,9.0,4064.0,0.0,7.0,0.0,0.7,0.0,0.0,14.5,114.6,1179.0,0.0
2069.0,2018.0,77.0,550.0,0.0,3.0,361.0,0.0,0.0,3414.0,0.0,0.0,0.0,1.0,10.0,6.0,0.0,10.0,18.0,8.0,15.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,4.0,0.0,828.0,0.0,13.0,4138.0,0.0,4.0,1.0,0.6,0.0,0.0,12.5,90.6,1170.0,0.0
1746.0,2009.0,3.0,200.0,0.0,7.0,1.0,0.0,0.0,3384.0,0.0,0.0,0.0,3.0,13.0,7.0,0.0,10.0,17.0,7.5,11.0,0.0,0.0,3.0,0.0,16.0,0.0,12.0,2.0,0.0,691.0,2.0,8.0,9625.0,0.0,6.0,0.0,0.1,0.0,0.0,16.2,137.3,866.0,0.0
